Epoch [1/50] | Train Loss: 3.5576 | Train Acc: 10.76% | Test Loss: 3.4841 | Test Acc: 29.54%
Epoch [2/50] | Train Loss: 3.3594 | Train Acc: 45.11% | Test Loss: 3.1999 | Test Acc: 62.20%
Epoch [3/50] | Train Loss: 2.9668 | Train Acc: 71.25% | Test Loss: 2.5832 | Test Acc: 79.48%
Epoch [4/50] | Train Loss: 2.3104 | Train Acc: 81.47% | Test Loss: 1.6166 | Test Acc: 84.33%
Epoch [5/50] | Train Loss: 1.5282 | Train Acc: 86.66% | Test Loss: 0.9110 | Test Acc: 87.93%
Epoch [6/50] | Train Loss: 0.9570 | Train Acc: 90.11% | Test Loss: 0.6486 | Test Acc: 89.10%
Epoch [7/50] | Train Loss: 0.6392 | Train Acc: 92.36% | Test Loss: 0.5136 | Test Acc: 89.89%
Epoch [8/50] | Train Loss: 0.4612 | Train Acc: 93.02% | Test Loss: 0.4212 | Test Acc: 90.65%
Epoch [9/50] | Train Loss: 0.3666 | Train Acc: 94.32% | Test Loss: 0.3605 | Test Acc: 91.17%
Epoch [10/50] | Train Loss: 0.2784 | Train Acc: 95.49% | Test Loss: 0.3254 | Test Acc: 91.36%
Epoch [11/50] | Train Loss: 0.2388 | Train Acc: 96.22% | Test Loss: 0.2957 | Test Acc: 91.69%
Epoch [12/50] | Train Loss: 0.1948 | Train Acc: 96.71% | Test Loss: 0.2818 | Test Acc: 92.15%
Epoch [13/50] | Train Loss: 0.1638 | Train Acc: 97.36% | Test Loss: 0.2670 | Test Acc: 92.34%
Epoch [14/50] | Train Loss: 0.1375 | Train Acc: 97.31% | Test Loss: 0.2573 | Test Acc: 92.42%
Epoch [15/50] | Train Loss: 0.1236 | Train Acc: 97.91% | Test Loss: 0.2525 | Test Acc: 92.72%
Epoch [16/50] | Train Loss: 0.1001 | Train Acc: 98.56% | Test Loss: 0.2466 | Test Acc: 92.67%
Epoch [17/50] | Train Loss: 0.0868 | Train Acc: 98.70% | Test Loss: 0.2449 | Test Acc: 92.37%
Epoch [18/50] | Train Loss: 0.0794 | Train Acc: 98.86% | Test Loss: 0.2374 | Test Acc: 92.86%
